,u_id,Image Path,prod_labels
0,0,images/46052.jpg,tableware pepper mill
1,1,images/33029.jpg,clothing person pattern (fashion design) trouser
2,2,images/38033.jpg,clock analog watch watch strap
3,3,images/54071.jpg,shoe sneakers walking shoe clothing footwear athletic shoe cross training shoe running shoe tennis shoe outdoor shoe sneaker bicycle shoe carmine basketball shoe red shoes
4,4,images/41048.jpg,clock analog watch watch
5,5,images/37304.jpg,clock watch analog watch strap
6,6,images/7217.jpg,shoulder stomach neck chest waist person abdomen active tank woman bra
7,7,images/27897.jpg,clothing person pattern (fashion design) fashion design casual dress fashion blouse fabric cloak woman purple indoor
8,8,images/40319.jpg,clothing shoe footwear white walking shoe sneaker sneakers
9,9,images/45323.jpg,clothing footwear sandal slingback shoe
10,10,images/19878.jpg,footwear shoe sneaker sneakers
11,11,images/17702.jpg,clothing footwear shoe walking shoe plimsoll shoe shoes sneaker sneakers
12,12,images/30194.jpg,bag accessory luggage and bags hand luggage backpack luggage
13,13,images/14156.jpg,cable connector
14,14,images/3653.jpg,clothing person top active shirt sleeve long-sleeved t-shirt
15,15,images/33740.jpg,clothing person casual dress cloak woman
16,16,images/25721.jpg,clothing buckle belt buckle belt fabric
17,17,images/19160.jpg,clothing person top active shirt shoulder casual dress
18,18,images/22175.jpg,
19,19,images/18431.jpg,accessory luggage and bags hand luggage luggage leather handbag shoulder bag bag briefcase case
20,20,images/21446.jpg,clothing person shoulder active shirt casual dress top
21,21,images/4382.jpg,clothing person top active shirt casual dress shoulder
22,22,images/13427.jpg,clothing person active shirt top t-shirt casual dress shoulder sleeve
23,23,images/26450.jpg,clothing shoe walking shoe footwear sneaker outdoor shoe shoes running shoe tennis shoe athletic shoe plimsoll shoe cross training shoe sneakers
24,24,images/20393.jpg,bag accessory fashion accessory shoulder bag handbag luggage and bags tote bag shopping bag fashion
25,25,images/44988.jpg,clock analog watch watch
26,26,images/12374.jpg,clothing shirt fabric collar button
27,27,images/1871.jpg,clothing person active shirt t-shirt top casual dress neck sleeve shirt
28,28,images/15920.jpg,bag protective garment
29,29,images/11645.jpg,text clock digital clock
30,30,images/37698.jpg,bag accessory luggage and bags
31,31,images/47105.jpg,
32,32,images/55124.jpg,toiletry cosmetics accessory nail polish enamel gloss indoor
33,33,images/27503.jpg,brassiere clothing bra undergarment lingerie top
34,34,images/51560.jpg,watch clock analog watch
35,35,images/5435.jpg,clothing active shirt t-shirt top shirt white sleeve person
36,36,images/44270.jpg,
37,37,images/50831.jpg,clothing buckle belt buckle belt fabric indoor fashion
38,38,images/31247.jpg,clothing fabric top person
39,39,images/15209.jpg,clothing person top casual dress pocket fabric
40,40,images/28232.jpg,
41,41,images/4706.jpg,clock watch analog watch
42,42,images/9710.jpg,clothing shirt fabric person plaid tartan pattern dress shirt top button collar casual dress pocket
43,43,images/23228.jpg,clothing person pattern (fashion design) pattern casual dress blouse textile design plaid tartan top sleeve fabric
44,44,images/36251.jpg,clothing person top collar fabric man sleeve casual dress shirt fashion
45,45,images/42812.jpg,clothing person thigh model stomach underpants undergarment abdomen photo shoot woman waist human face chest fashion model lingerie lady fashion wearing girl
46,46,images/6164.jpg,clothing person active shirt top t-shirt jeans shoulder casual dress neck
47,47,images/10754.jpg,flip-flops
48,48,images/8108.jpg,clock watch analog watch strap
49,49,images/11483.jpg,clock watch analog watch
50,50,images/30356.jpg,clothing person top active shirt t-shirt sleeve
51,51,images/33902.jpg,clock watch analog watch fashion accessory
52,52,images/27341.jpg,toiletry solution perfume bottle
53,53,images/3815.jpg,clothing active shirt t-shirt top sleeve
54,54,images/14318.jpg,clothing person top casual dress sleeve fabric
55,55,images/19322.jpg,clothing person fabric top outerwear sleeve blue
56,56,images/35360.jpg,clothing footwear shoe
57,57,images/41921.jpg,footwear
58,58,images/5273.jpg,footwear clothing shoe slipper flip-flops
59,59,images/22337.jpg,clothing person fabric top sleeve active shirt casual dress
60,60,images/31085.jpg,clothing person shawl scarf stole wrap pattern (fashion design) textile woman fabric indoor
61,61,images/34631.jpg,footwear shoe sneaker walking shoe sneakers shoes
62,62,images/4544.jpg,shoe sneakers walking shoe sneaker tennis shoe running shoe athletic shoe outdoor shoe skate shoe cross training shoe plimsoll shoe basketball shoe footwear shoes
63,63,images/28070.jpg,clothing shorts briefs underpants active shorts person underwear
64,64,images/15047.jpg,clothing person hood jacket hoodie outerwear protective garment
65,65,images/26612.jpg,clothing footwear shoe walking shoe shoes
66,66,images/42650.jpg,clothing person pattern (fashion design) casual dress fashion design trouser fashion woman dress
67,67,images/56015.jpg,cosmetics brush
